Job Title,Company,Location,Salary,Job Description,Job Link,Category
WGL - Sr. Benefits Accountant,Washington Gas,Washington,Not specified,"Job Description

Position Summary

Responsible for the accounting and reporting for compensation and employee benefits in accordance with Generally Accepted Accounting Principles (GAAP) and Federal Energy Regulatory Commission (FERC).

Tasks and Responsibilities
• * Establishes and reviews required journals; ensures journal entries are properly prepared, edited, and posted; and reviews transactions which form the basis to account for the Company's compensation and benefit plans. which could include Pension, OPEB, stock based compensation, paid time off, bonus accruals and other benefit related items.
• Conducts analyses of financial transactions and explains variations from year to date and prior year results, and budgeted and forecasted amounts.
• Performs reconciliations of balance sheet accounts related to benefit accounting and resolves any unreconciled items.
• Participates in the preparation and detail review of both external and internal schedules/reports of monthly, quarterly, and annual basis.
• Acts as liaison related to benefit matters for both internal audiences (Human Resources, Office of the General Counsel, Financial Reporting and Regulatory Affairs) and external audiences (actuary, external fund manager, auditors).
• Coordinates the preparation of the annual GAAP Financial Statements for the Pension Plan, Retiree Health and Welfare, and 401K Plans. In addition, participates in the management of the audits for accurate and timely filing.
• Participates in the formulation, determination and execution of Benefits Accounting policies and procedures.
• Provides formal responses to inquiries or other information requested monthly, quarterly or annually by senior management, other business units, and internal and external auditors; and oversees the preparation of information furnished in the initial filing of rate case data and responds to data requests from the Commissions regarding benefit accounting.
• Collaborates with actuary and senior management in formulating and determining updated benefit valuation assumption and in implementing the results of re-measuring the Company's benefit obligations.
• Researches and recommends proper accounting treatment and related procedures for new employee/retiree benefits, benefit transactions, or newly created accounting guidelines issued pursuant to GAAP, the DOL, the SEC or the FERC accounting and financial reporting requirements; and gains and maintains a thorough knowledge of the terms of all Company employee/retiree benefit plans and the related policies and procedures.
• Performs other special projects as assigned by the Sr Manager Technical Accounting and Benefits.

Qualifications, Skills And Abilities
• Bachelor's Degree accounting, finance or a related discipline (may be substituted with an additional 4 years of experience in an accounting or finance function). required
• Master's Degree accounting, finance or a related discipline preferred
• 5+ Years accounting function required
• Experience in benefits accounting, technical accounting or financial reporting is preferred.
• CPA license preferred.
• A master’s degree in accounting or a CPA license may be substituted for 1 year of the experience requirement.
• Working knowledge of PeopleSoft General Ledger module and reporting tools
• Demonstrated working knowledge of GAAP. Experience interpreting and applying the requirements of Accounting Standards Codification (ASC) Topics 710 – 718 preferred.
• General knowledge of SEC regulations and filing requirements, along with the FERC uniform system of accounts preferred.
• Understanding of the regulated energy industry preferred.
• Demonstrated ability to effectively communicate complex messages, both verbally and in writing, to diverse internal and external audiences at all organization levels.
• Proven ability to use computer software and applications, including Microsoft Office, including Word and advanced features of Excel, to share, retrieve, research and present business information.
• Demonstrated ability to establish rapport and effective working relationships with business partners, management and peers.
• Demonstrated ability to analyze and interpret data and to identify relevant issues in solving business problems.

We offer a competitive salary range of $94,000 to $136,000 per year, commensurate with experience, education, and skills. In addition, we provide a comprehensive benefits package including health insurance, retirement plans, and paid time off.

The Company values diversity in its workforce and encourages United States military veterans and service members who meet the qualifications to apply

Why work at AltaGas?

AltaGas is a North American energy infrastructure company with a focus on owning and operating assets that provides affordable energy to our customers. AltaGas assets include Washington Gas/WGL, SEMCO, and Petrogas. Our talented team, nearly 3,000 strong, leverages the strength of our assets and expertise along the energy value chain to connect customers with premier energy solutions – from the well sites of upstream producers to the doorsteps of homes and businesses to new markets around the world.

We deliver affordable natural gas to approximately 1.7 million customers’ homes and businesses through regulated natural gas distribution utilities across four jurisdictions in the United States and two regulated natural gas storage utilities in the United States. Learn more about our team, vision, and strategy.

To learn more about our mission: https://youtu.be/k1mrKDdsYW8?si=y1k3NOyHxgf4emdL

WGL is an EO employer – M/F/Vets/Disabled

For Canadian hires: AltaGas hires personnel on the basis of job-related qualifications. All qualified applicants will receive consideration without regard to a person's ancestry, place of origin, colour, ethnic origin, citizenship, creed, sex, sexual orientation, gender identity or expression, age, record of offences, marital status, family status or disability or any other characteristic protected by applicable law.

For U.S. hires: WGL/SEMCO/AltaGas offers a total rewards package that includes competitive pay, incentive bonus plans, holiday pay, 401K matching and a wide array of benefits. These benefits including medical, dental and vision coverage are designed to help you and your family stay healthy. We also have paid time off (PTO) to balance the demands of your work and personal life. Available benefits vary depending upon the specifics of the role.

U.S. affiliates of AltaGas are committed to equal employment opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. We value and encourage diversity and solicit applications from all qualified applicants without regard to race, ethnicity, religion, gender, age, national origin, marital status, sexual orientation, gender identity, family responsibilities, matriculation, physical or mental disabilities, political affiliation, genetic information, status as a protected veteran or any other characteristic protected by federal, state, or local law.",https://www.linkedin.com/jobs/view/wgl-sr-benefits-accountant-at-washington-gas-4229169768?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
"Accountant (AP) (In-Office - Arlington, VA)",Chinook Systems,Arlington,Not specified,"Who is Chinook?
Chinook Systems, Inc. is a leader in delivering lifecycle energy security solutions to mission critical government and commercial facility Owners. We specialize in the engineering, construction, commissioning, and operations of intelligent, cyber secure, code compliant, and energy efficient building systems. Our solutions save millions of dollars in utility costs, reduce harmful emissions to the environment, and mitigate cyber‐attacks on facilities. Chinook provides motivated employees with the opportunity to advance in a fast‐growing, innovative, entrepreneurial, and collaborative work environment.

The Work:

As an Accountant, you will actively work with both corporate departments and the Technical Services groups to provide day to day accounting support and ensure the timely delivery of services, data, and reporting. In this role you will ensure compliance with accounting regulations, corporate policies and procedures, and contract requirements. Further, you will support the development and implementation of best practice policies and procedures to maximize cash flow and ensure accurate reporting of accounting transactions.

This position is IN-Office at our Corporate Headquarters in Arlington, VA.

Key Responsibilities:
• Lead all vendor invoice reviews for appropriate documentation and approval prior to entry into the ERP system and payment.
• Record and verify all expense reports, ensure proper compliance with company policies and contract requirements.
• Lead the processing/preparation of check runs, wire transfers and ACH transactions.
• Assist with journal entries to the General Ledger.
• Assist in month end closing through analysis and reconciliation of transactions posted to the General Ledger and relevant subledgers.
• Allocate expenditures to correct accounts and pools according to company policies, GAAP, DCAA and the FAR.
• Handle vendor administration including new vendor set up, maintenance, and vendor updates.
• Disseminate information both in writing and verbally, explaining complex technical information clearly across all communication platforms.
• Review AP Aging monthly and provide analysis to the Director of Finance and Administration.
• Lead all AP reconciliations, including bank, payroll and credit card reconciliations.
• Assist with month-end, quarter-end and year-end close processes.
• Lead all AP functions, including payroll and vendor payments.
• Exercise your strong attention to detail.
• Assist with Project setup.
• Assist with all internal and external audits.
• Perform other duties as assigned.

Minimum Qualifications:
• Must have a Bachelor's Degree in Finance, Accounting, or related field and at least 5 years of progressive accounting experience. A High School Diploma and an additional 6 years of directly relevant government accounting experience may be considered in lieu of a degree.
• Requires experience with Unanet ERP software.
• Must have a strong background in Accounts Payable (AP).
• Requires experience with Bank and Credit Card reconciliations.
• Requires at least an intermediate understanding of accounting practices and procedures, project-based accounting under federal contracts, financial statements, and the full accounting cycle.
• Must have a strong understanding of Generally Accepted Accounting Principles (GAAP).
• Experience in accounting for government contractors is critical for this role.

Citizenship/Clearance Requirements:
• Must be a U.S. Citizen and be able to obtain and maintain up to a Top Secret clearance due to our customer requirements and the nature of the work that we do.

Preferred Qualifications:
• Knowledge of the Federal Acquisition Regulations (FAR).
• Excel expertise with the ability to create dashboards and custom reports.

Physical Considerations:
• Must be able to work in an office environment.

Equal Employment Opportunity Statement:

Chinook Systems Inc. is an Equal Opportunity Employer. We do not discriminate against anyone because of their differences, such as age, disability, ethnicity, religion, national origin, gender, gender identity and expression, or sexual orientation.

Chinook is committed to providing veteran employment opportunities to our service men and women.",https://www.indeed.com/viewjob?jk=8cd02387f8ba02aa&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
"Staff Accountant, Corporate Accounting",The Carlyle Group,Washington,75000 - 85000 ,"Basic information

Job Name:

Staff Accountant, Corporate Accounting

Location:

Washington, DC

Line of Business:

Finance

Job Function:

Investor Services

Date:

Wednesday, May 7, 2025

Position Summary

This position is primarily responsible for reconciling all cash-related activities for Carlyle’s general partner (GP) entities, as well as the public and other consolidated entities. They will also be sharing the responsibility of managing the team’s group email inbox (GPILP), which includes processing cash transfers for capital calls and distributions related to the GP commitments. This position will work closely with various internal teams (such as Banking Operations, Treasury and Internal Coinvestment) to reconcile cash accounts, problem solve any timing issues and properly book journal entries related to GP cash movements. They will also assist with the monthly and quarterly closing of the general ledgers, help process carried interest distributions and provide overall accounting/administrative support to the team.

Responsibilities

Cash activities – 40%
• Pull PeopleSoft Reports (and bank statements) to complete reconciliation of daily cash activity per for all the GLBUs related to assigned Carlyle GP, Parent, IPO and other consolidated entities. Any activity that did not have auto-generated JE would need to be manually entered
• Assist with identifying any general ledger miscoding and preparing correcting entries
• Initiate cash transfers for Capital Calls and Distributions (in PeopleSoft/Ariba)
• Liaise with Banking Ops/Treasury teams to ensure new bank accounts are updated on our reporting and ready to use in PeopleSoft. Additionally, maintain list of bank accounts and work to close liquidated or duplicative accounts.

Manage GPILP Inbox and other accounting functions – 25%
• Use Salesforce to monitor, reply, and assign emails that come into the team’s mailbox
• Record capital calls and GP distributions on our team’s sharefile tracker and save down relevant notices on the shared drive
• Assist in various carry-related tasks/projects/postings, as they become available.

Process Realized Carry/Incentive Distributions – 20%
• Facilitate the process of disbursing carried interest (or other performance fees) out to deal team participants across the Firm
• Ensure all payments go out successfully and liaise with CIM team to recover any working capital costs across the ILP (Investment Limited Partner) entities

Support Team during Month-End + Quarter-End Close – 15%
• Complete monthly audit cash reconciliation sign-off in RCM (OneStream)
• Assist with external auditor requests for items related to quarterly reviews and year-end audit
• Assist with Partner Capital (PCAP) Reconciliations during quarter close
• Assist with helping team process manual JEs in PeopleSoft

Qualifications

Education & Certificates
• Bachelor’s degree, required
• Concentration in Accounting/Finance, or related field preferred

Professional Experience
• 1-3 years of relevant Accounting/Business experience, required
• Fundamental bookkeeping and accounting skills
• Experience with Salesforce/OneStream/PeopleSoft/Ariba preferred

Competencies & Attributes
• Proficient Microsoft Office skills – Advanced skills in MS Word and Excel
• Organized and efficient, ability to handle multiple tasks
• Strong professional and communication skills
• Excellent problem solving, analytical and process improvement skills
• Must be able to work long hours during quarter-end close periods

Benefits/Compensation

The compensation range for this role is specific to Washington, DC and takes into account a wide range of factors including but not limited to the skill sets required/preferred; prior experience and training; licenses and/or certifications.

The anticipated base salary range for this role is $75,000 to $85,000.

In addition to the base salary, the hired professional will enjoy a comprehensive benefits package spanning retirement benefits, health insurance, life insurance and disability, paid time off, paid holidays, family planning benefits and various wellness programs. Additionally, the hired professional may also be eligible to participate in an annual discretionary incentive program, the award of which will be dependent on various factors, including, without limitation, individual and organizational performance.

Due to the high volume of candidates, please be advised that only candidates selected to interview will be contacted by Carlyle.

Company Information

The Carlyle Group (NASDAQ: CG) is a global investment firm with $441 billion of assets under management and more than half of the AUM managed by women, across 636 investment vehicles as of December 31, 2024. Founded in 1987 in Washington, DC, Carlyle has grown into one of the world's largest and most successful investment firms, with more than 2,300 professionals operating in 29 offices in North America, Europe, the Middle East, Asia and Australia. Carlyle places an emphasis on development, retention and inclusion as supported by our internal processes and seven Employee Resource Groups (ERGs). Carlyle's purpose is to invest wisely and create value on behalf of its investors, which range from public and private pension funds to wealthy individuals and families to sovereign wealth funds, unions and corporations. Carlyle invests across three segments - Global Private Equity, Global Credit and Investment Solutions - and has expertise in various industries, including: aerospace, defense & government services, consumer & retail, energy, financial services, healthcare, industrial, real estate, technology & business services, telecommunications & media and transportation.

At Carlyle, we believe that a wide spectrum of experiences and viewpoints drives performance and success. Our CEO, Harvey Schwartz, has stated that, ""To build better businesses and create value for all of our stakeholders, we are focused on assembling leadership teams with the strongest insights from a range of perspectives."" We strive to foster an environment where ideas are openly shared and valued. By bringing together teams with varied expertise and approaches, we enjoy a competitive advantage and create a stronger foundation for long-term success.",https://www.indeed.com/viewjob?jk=e7162f4327a4a4e2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
Staff Accountant,Robert Half,Alexandria,38 - 44 ,"We are looking for a detail-oriented Staff Accountant to join our team on a long-term contract basis. This role is based in Alexandria, Virginia, and is ideal for someone with experience in managing financial operations and maintaining accurate records. If you are skilled in accounting systems and have a strong understanding of financial principles, we encourage you to apply.Responsibilities:• Process invoices and ensure timely and accurate payments.• Perform bank reconciliations to maintain up-to-date financial records.• Manage accounts payable (AP) and accounts receivable (AR) functions efficiently.• Record and post journal entries to the general ledger.• Assist with month-end close activities, ensuring all financial data is accurate and complete.• Handle loan funding processes and related financial tasks.• Support transaction processing and maintain organized financial documentation.• Utilize Sage 100 software for accounting tasks.• Collaborate with team members to ensure compliance with accounting standards and procedures.",https://www.roberthalf.com/us/en/job/alexandria-va/staff-accountant/04580-0013222747-usen?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
Forensic Accountant Jobs,"Dorrean, LLC",Washington,Not specified,"Dorrean is seeking a detail-oriented and analytical Forensic Accountant to join our team in a contract role for a Federal agency in Washington, DC.

Requirements

• Minimum of Three (3) years of experience leading or coordinating complex programs and/or multiple projects within the defense, intelligence, or law enforcement communities.

• Have expert knowledge of business and government organizational and managerial structures and practices, and their financial documentation practices, as well as various sophisticated finance and accounting systems, methods, and techniques

• Have advanced ability to conduct quantitative and qualitative analyses, to apply various statistical methods and formulas, to discern and unravel complex interrelationships, to recognize concealed or obscure associations, and to draw logical inferences and conclusions that are significant for evidentiary purposes.

• Ability to use computer database and software as tools for gathering and analyzing financial information, conducting analyses, managing investigative cases, and facilitating office operations to include data base management systems, statistical analytical software, Internet research techniques and information resources, office automation (spreadsheets, desktop publishing, BankScan etc.), and electronic mail systems.

• Must be able to translate complex and interrelated information to articulate presentations.

• Must be able to compose substantive analytical reports.

• Must be able to interact effectively as a member of a multi-jurisdictional investigative team.

• Must be able to elicit information and develop relationships with international and/or domestic banking, financial, and law enforcement officials.

Clearance:

• Must have a Top-Secret/SCI clearance

Education:

• Shall have a Bachelor’s or Master’s Degree in Forensic Accounting, Accounting, Finance, or a related field for forensic accountants.

Certification(s):

• Shall be either a Certified Public Accountant (CPA) or Certified Fraud Examiner (CFE).

Dorrean provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to any status or characteristic protected by federal, state, or local laws.

This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Dorrean provides benefit options to employees that include Medical, Dental, Vision, and Prescription coverage. Additional benefits include Flexible Spending Accounts, Supplemental benefit options, commuter benefit options, subsidies for professional development, and a 401(k)-retirement plan.",https://www.clearancejobs.com/jobs/8156588/forensic-accountant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
Staff Accountant,The Staff Pad,Hyattsville,Not specified,"The Staff Pad is seeking a Staff Accountant to join our client’s team in a full-time, in-office role. This opportunity is ideal for an experienced accounting professional who brings strong expertise in billing, general ledger (GL), and payroll operations. If you are detail-oriented, organized, and ready to take ownership of core accounting functions, we want to hear from you.

Responsibilities
• Manage daily accounting operations, including billing, general ledger entries, and account reconciliations
• Oversee payroll processing, ensuring accuracy and compliance with applicable regulations
• Prepare and maintain financial statements and reports
• Support monthly, quarterly, and year-end close processes
• Collaborate with cross-functional teams on budgeting, audits, and financial reviews
• Maintain documentation for internal controls and assist with policy development
• Resolve discrepancies and provide support for external audits as needed

Requirements
• Bachelor’s degree in Accounting, Finance, or related field
• Minimum 3 years of accounting experience; 5 years preferred
• Strong experience with billing, GL, and payroll
• Proficiency with accounting software and Microsoft Excel
• High attention to detail and ability to meet deadlines
• Excellent communication and problem-solving skills
• Ability to work independently in a fast-paced, in-office environment

Compensation
• Competitive salary based on experience
• Full benefits package available

This is a great opportunity for a seasoned accountant looking to join a stable, growth-oriented team.",https://www.linkedin.com/jobs/view/staff-accountant-at-the-staff-pad-4226931358?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
"Senior Accountant, Federal Appropriations",John F. Kennedy Center,Washington,71900 - 93500 ,"About The Kennedy Center

“I am certain that after the dust of centuries has passed over our cities, we, too, will be remembered not for victories or defeats in battle or in politics, but for our contribution to the human spirit.” – President John F. Kennedy

The Kennedy Center is the nation’s cultural center and living memorial to President John F. Kennedy. Located on the banks of the Potomac River in Washington, D.C., the Center presents performances across all genres, and is also home to artistic affiliates Washington National Opera and National Symphony Orchestra.

At the Kennedy Center, we strive to foster belonging and empowerment at work. We are able to advance our mission because of our committed and passionate employees. We are fortunate to be able to leverage their diverse perspectives, life experiences and skills to inform how our workplace can be a safe, transparent, and replenishing community. The Kennedy Center is an equal opportunity employer and does not discriminate against any employee or applicant based on race, religion, gender identity, sexual orientation, disability, veteran status, marital status, pregnancy or related condition, or any other basis protected by law.

Mission Statement: As the nation's performing arts center, and a living memorial to President John F. Kennedy, we are a leader for the arts across America and around the world, reaching and connecting with artists, inspiring and educating communities. We welcome all to create, experience, learn about, and engage with the arts.

Why Join Us
• We offer a total rewards package to all full-time employees to include:
• Staff offers for discount tickets
• Retirement plan with organization matching (after 1 year of employment)
• Qualifying employer for the Public Student Loan Forgiveness Program (PSLF)
• Commuter programs including pre-tax options for discounted parking and SmartBenefits (WMATA)
• Annual Leave, Sick Leave, and Personal Days available immediately upon hire
• 11 paid holidays per year
• Medical, Dental, and Vision benefits with FSA and HSA options, and paid FMLA
• We like to have fun! Check out the Kennedy Center National Dance Day 2024 staff video!

Pay Details

The Kennedy Center strives to design equitable compensation programs. The projected salary range for this position is $71,900 - $93,500, commensurate with experience, and includes a comprehensive benefits package. This is the targeted range of possible compensation for this role at the time of posting. This range may be modified in the future. Base pay within the range is ultimately determined by a candidate’s skills, expertise, and experience as it relates to the position qualifications and responsibilities.

Job Description

The Senior Accountant, Federal Appropriations is primarily responsible for facilitating and marshalling all necessary accounting and required procedures for transactions relating to the Kennedy Center’s use of Federal Appropriations. These include reviewing and processing of Federal requisitions, purchase orders, fund obligations (de-obligations), invoicing and payments while adhering to the Center’s internal policies, Federal Acquisition Regulations (FAR), and other Federal agencies’ requirements.

The Sr. Accountant is responsible for accurate and timely records keeping, accounting entries, reconciliations, and relevant financial reporting of Federal transactions utilizing the Center’s accounting system and database (LAWSON and KCMaster). The position serves as the primary point-of-contact with the General Services Administration (GSA) for processing of Federal invoices and payments (Accounts Payable and Federal payroll) and other Federal agencies for reporting requirements.

The Sr. Accountant shall foster collaborative working relationships and maintain professional, effective, and timely communications with internal customers (KC management, Facilities, Contracting, and Finance) and external customers (GSA).

Key Responsibilities
• Maintain Federal financial records: Coordinate accounts payable input of financial information into Lawson and with any third party service provider for the recording and processing of Federal financial transactions. Review all federal transactions entered into Lawson. Review payroll reports provided by any third party service provider for completeness and accuracy and record via GL entry into the accounting system. Monthly reconciliation of the purchasing card program activity to cardholder Excel spreadsheets to ensure transactions are accounted for appropriately. Work with cardholders to resolve vendor disputes.
• Analyze and review Federal financial documents: Review accounting data in order to determine that items are properly coded, authorized, allowable, and reasonable. Determine that funds are available before submitting requisitions for funds certification.
• Month/Year -end financial reporting, reconciliation, and analysis: (a) perform multiple reconciliations between the general ledger and activity management systems as well as detailed reconciliations of any third party service provider reports to Lawson records by fund. (b) Work with Contracting and other program office staff to ensure that the year-end close out activities are completed and all obligations are processed prior to year-end.
• Other critical duties – (a) support preparation for and participate in annual financial statement audit and other regulatory audits as such audits occur (e.g., GAO); (b) maintain contact with any third party service provider to discuss financial management data and reports and to resolve any issues or problems with both internal and external customers. (c) assist in developing policies and procedures as well as provide training or guidance needed to effectively communicate any changes.
• Other duties as assigned.

Key Qualifications
• Bachelor’s degree in accounting, finance, or business-related field is required. Advanced degree in business-related field is a plus.
• Minimum of 5-7 years of finance and/or accounting experience, including at least 3 years working with federal appropriations.
• Excellent written/verbal communication and interpersonal skills
• Strong analytical skills and attention to detail
• Proficiency with general ledger applications (experience with Lawson accounting system is a plus)
• Knowledge of Federal appropriation laws is preferred.
• Candidate must be local or willing to relocate to the DMV area. Relocation assistance is not provided.
• Candidate must be willing to work onsite.

Equal Opportunity Employer
This employer is required to notify all applicants of their rights pursuant to federal employment laws. For further information, please review the Know Your Rights notice from the Department of Labor.",https://www.indeed.com/viewjob?jk=93949e35929365af&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
Senior Accountant – Full Time,Addison Group,Washington,Not specified,"Job Title: Senior Accountant – Full Time

Location: Washington, DC (Hybrid)

Industry: Government Contracting

Compensation: $75,000-$85,000

A well-known government contracting company in Washington, DC, is seeking a Senior Accountant for a full time opportunity. This role offers a hybrid schedule, allowing for both remote and in-office work.

Key Responsibilities:
• Prepare and review journal entries, account reconciliations, and month-end close processes.
• Ensure compliance with GAAP, FAR, and government contracting regulations.
• Analyze financial statements and assist with variance analysis.
• Support audits by preparing documentation and responding to inquiries.
• Assist with project accounting, cost allocations, and revenue recognition.
• Work with cross-functional teams to improve accounting processes and controls.

Qualifications:
• 5+ years of accounting experience, preferably in government contracting.
• Strong knowledge of GAAP and FAR compliance.
• Hands-on experience with Deltek Costpoint
• Experience with financial reporting, reconciliations, and month-end close.
• CPA or CPA eligibility is a plus but not required.

Office Schedule:
• Schedule: Hybrid (onsite in Washington, DC, 3 days per week)
• Compensation: $75,000-$85,000

Why choose Addison Finance & Accounting?
• Benefits & Bonuses: You are eligible for medical, dental, vision insurance benefits, 401K, and monetary bonuses
• Permanent Employment: Many of Addison’s Finance & Accounting job openings lead to potential permanent employment
• Connections: You connect directly with hiring managers from renowned organizations
• Options: You are presented multiple employment options near your home
• Professional Development: You are provided hiring process advice, resume revision, and employment term negotiation

Addison Group is an Equal Opportunity Employer. Addison Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. Addison Group complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities. Reasonable accommodation is available for qualified individuals with disabilities, upon request.",https://www.addisongroup.com/jobs/job/senior-accountant-full-time-finance-and-accounting-washington-dc-a1qpl000002oxt7yao/1cd231c2-0fe5-11f0-a38b-42010a8a0019?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
Accountant I,George Washington University- Medical Faculty Associates,Washington,24.04 - 35.87 ,"Position Summary

To manage administrative and financial services for the MFA Pharmacy. Process all accounts payable requests and invoices for the Department. Performs administrative tasks for the Pharmacy Manager.

Essential Duties and Responsibilities

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Other duties may be assigned.
• At least one in-person workday scheduled weekly to reconcile cash payments made to the pharmacy.
• Process payment requests/inquiries related to Retail, Retail Specialty, and IDS pharmacies.
• Process Retail Pharmacy POS payments by cash & checks, and save documentation in cash deposit log. Reconcile payment with epic report
• Process all third-party Rx claim payments received and save documentation. Recognize revenue if applicable.
• Coordinate with GWU procurement team to register new MFA Vendors/Suppliers in SAP Concur.
• Setting up MFA clinics/departments’ drug purchases in SAP Concur for payments & credits.
• Submit weekly McKesson Drug purchase reports for upload into EAS for payment.
• Process new PO requisitions, adding new orgs., and adding funds to existing Pos in EAS.
• Submit monthly credit card reports for Review and approval.
• Submit Partner Invoices to MFA accounting team.
• Reconcile IDS pharmacy invoices submitted to GWU grant team.
• Review Clinic Dispensary Inventory & reconcile all interdepartmental drug allocation costs.
• Tally petty cash or change fund, and submit reports to MFA Accounting Team.
• Prepare monthly Journal Entries & upload into EAS the change in inventory balances for Retail Pharmacy, Clinic Dispensary and Infusion Pharmacy.
• Prepare and upload end of the month drug purchase accruals, revenue recognition and drug cost allocations.
• Prepare JE & Upload into EAS the transactions claiming credit for goods rendered to partners as well as for drug reallocation costs among MFA Clinics.
• Perform other tasks as directed by the Executive Director when needed.
• Prepare AR reports and P&L Statements, and submit to Executive Director, Pharmacy Services.
• Analyze & reconcile receivables from third party payers. Reconcile discrepancies and be able to explain to the pharmacy director and all parties.
• Reconcile retail and IDS pharmacies’ receivables, credit claims and expenses.
• Respond to queries from MFA accounting team regarding month over month variance in drug purchase costs.
• Coordinate with MFA accounting team to adjust cash recording and expense entries.
• Other duties as assigned

Minimum Qualifications

Education

Associates Degree in Business or a related field with at least two courses in the principles and theories of accounting or equivalent combination of training and experience is necessary. Basic knowledge of Microsoft Word and Excel is required.

Experience

Two years of accounting or bookkeeping experience, which involved hands-on use of automated equipment, Microsoft Word, Microsoft Excel, and QuickBooks is necessary.

Competencies

Must have the ability to do math calculations, input data into the computer and analyze data as requested. Must have excellent verbal and written communication skills. Must be able to communicate providing verbal feedback in a professional manner. Must be able to follow and understand instructions, and react favorably in all work situations. Must have strong interpersonal skills and be mentally adaptable and flexible in dealing with a variety of people at various levels within and outside the MFA.

Physical Requirements
• Walk, stand, and reach above the shoulder frequently in an office setting.
• Must be able to occasionally lift or carry and frequently push or pull up to 100 lbs. as part of the role.
• Regularly exposed to healthcare settings that may require personal protective equipment.
• Requires manual dexterity to operate a computer keyboard, calculator, copier machine, and other equipment.

About GW MFA

MFA physicians provide comprehensive patient care, offering one practice for the whole person with 52 medical and surgical specialties. As members of the GW School of Medicine and Health Sciences faculty, MFA providers are teachers and mentors for medical students, residents, fellows, and researchers, preserving the rich tradition of academics, research, and healing. In addition to maintaining a closely integrated alliance with The George Washington University and The George Washington University Hospital (GWUH), which is separately owned and operated by Universal Health Services (UHS), the GW MFA has active referring relationships with 12 area hospitals.

The GW MFA’s leading healthcare presence in the DC metro region is complemented by a network of community-based practices in DC, Maryland, and Virginia. Given its geographic location in central NW Washington, DC, and proximity to more than 175 resident embassies, the MFA continues to evolve its international clinical outreach.

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
This employer is required to notify all applicants of their rights pursuant to federal employment laws. For further information, please review the Know Your Rights notice from the Department of Labor.",https://www.indeed.com/viewjob?jk=1bd6d8b1c9be121b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
Staff Accountant Jobs,Country Intelligence Group,Washington,Not specified,"Staff Accountant

Country Intelligence Group is seeking a Staff Accountant to support our client in financial operations, data-driven decision support, and audit readiness in Washington, D.C. This position requires hands-on experience in financial reporting, audit support, and advanced data analytics to enhance financial transparency and accountability. The selected candidate will be responsible for ensuring the accuracy and integrity of financial data, preparing and analyzing financial reports, supporting audit processes, and contributing to the development of automated reporting tools and financial dashboards. The ideal candidates will bring a mix of traditional accounting expertise and modern analytical skills to streamline reporting and support process improvement initiatives in a highly regulated environment.

Tasks Performed:

• Record and reconcile financial transactions across general ledger accounts to ensure accuracy and compliance with applicable accounting standards.

• Support the full financial lifecycle including budget development, expenditure tracking, and financial reporting.

• Utilize data analytics tools to identify trends, support financial decision-making, and enhance data accuracy.

• Provide audit support by compiling documentation, resolving discrepancies, and responding to auditor inquiries.

• Collaborate with cross-functional teams to deliver insights on financial performance, cost tracking, and resource allocation.

• Assist in streamlining financial processes and supporting audit readiness efforts.

Education, Experience and Qualifications:

• Bachelor’s degree in accounting, finance, economics, or a related discipline.

• 3-5 years of experience in accounting, auditing, or data analysis.

• Familiarity with financial reporting regulations and best practices.

• Strong understanding of internal controls, audit documentation, and compliance processes.

• Excellent analytical, organizational, and communication skills.

• Skilled with data analysis tools (e.g. RStudio, Python, SQL, etc.) or data visualization tools (e.g. Power BI, Tableau, etc.) (Preferred).

Other Job Requirements:

• Secret security clearance (required).

• U.S. Citizenship, and successful background check.

• Location: Washington, D.C.

Salary:

• $80,000-$90,000/year",https://www.clearancejobs.com/jobs/8337843/staff-accountant?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,accountant
